Country,ISO3,UNICEF Region,Sex,Wealth Quantile,Copied or moved a file or folder,Used a copy and paste tool to duplicate or move information within a document,"Sent e-mail with attached file, such as a document, picture or video",Used a basic arithmetic formula in a spreadsheet,"Connected and installed a new device, such as a modem, camera or printer","Found, downloaded, installed and configured software","Created an electronic presentation with presentation software, including text, images, sound, video or charts",Transferred a file between a computer and other device,Wrote a computer program in any programming language,Performed at least one out of nine activities,Source,Year
Tunisia,TUN,MENA,Male,1,0.135,0.152,0.084,0.086,0.026,0.091,0.043,0.06,0.024,0.206,MICS,2019
Tunisia,TUN,MENA,Male,2,0.217,0.16,0.132,0.084,0.081,0.162,0.061,0.135,0.023,0.288,MICS,2019
Tunisia,TUN,MENA,Male,3,0.26,0.245,0.184,0.135,0.155,0.211,0.129,0.168,0.076,0.37,MICS,2019
Tunisia,TUN,MENA,Male,4,0.393,0.382,0.318,0.237,0.227,0.317,0.184,0.301,0.145,0.527,MICS,2019
Tunisia,TUN,MENA,Male,5,0.668,0.656,0.528,0.343,0.423,0.415,0.238,0.447,0.202,0.793,MICS,2019
Turkmenistan,TKM,EECA,Female,1,0.307,0.277,0.057,0.118,0.07,0.045,0.058,0.214,0.012,0.328,MICS,2018-19
Turkmenistan,TKM,EECA,Female,2,0.29,0.297,0.043,0.085,0.077,0.034,0.036,0.23,0,0.35,MICS,2018-19
Turkmenistan,TKM,EECA,Female,3,0.232,0.239,0.069,0.099,0.09,0.03,0.062,0.223,0.009,0.303,MICS,2018-19
Turkmenistan,TKM,EECA,Female,4,0.249,0.202,0.098,0.102,0.069,0.044,0.058,0.171,0.002,0.261,MICS,2018-19
Turkmenistan,TKM,EECA,Female,5,0.484,0.431,0.225,0.262,0.222,0.128,0.136,0.412,0.021,0.539,MICS,2018-19
Turks and Caicos Islands,TCA,EECA,Female,1,0.197,0.427,0.209,0.329,0.385,0.224,0.318,0.446,0.068,0.446,MICS,2018-19
Turks and Caicos Islands,TCA,EECA,Female,2,0.621,0.621,0.686,0.564,0.437,0.406,0.34,0.287,0.002,0.689,MICS,2018-19
Turks and Caicos Islands,TCA,EECA,Female,3,0.631,0.672,0.721,0.378,0.204,0.418,0.246,0.36,0.013,0.736,MICS,2018-19
Turks and Caicos Islands,TCA,EECA,Female,4,0.603,0.611,0.655,0.454,0.268,0.419,0.332,0.488,0.006,0.697,MICS,2018-19
Turks and Caicos Islands,TCA,EECA,Female,5,0.805,0.84,0.832,0.721,0.718,0.49,0.594,0.486,0.05,0.852,MICS,2018-19
Turks and Caicos Islands,TCA,EC,Male,1,0.059,0.059,0.234,0.079,0,0.022,0.093,0.079,0,0.234,MICS,2018-19
Turks and Caicos Islands,TCA,EC,Male,2,0.531,0.531,0.579,0.354,0.338,0.3,0.266,0.542,0.167,0.595,MICS,2018-19
Turks and Caicos Islands,TCA,EC,Male,3,0.309,0.317,0.448,0.263,0.334,0.408,0.211,0.33,0,0.476,MICS,2018-19
Turks and Caicos Islands,TCA,EC,Male,4,0.885,0.691,0.963,0.452,0.862,0.914,0.434,0.873,0.056,0.979,MICS,2018-19
Turks and Caicos Islands,TCA,EC,Male,5,0.723,0.734,0.91,0.469,0.593,0.7,0.55,0.803,0.118,0.918,MICS,2018-19
Tuvalu,TUV,EAP,Female,1,0.272,0.232,0.197,0.092,0.171,0.171,0.052,0.175,0.035,0.311,MICS,2019
Tuvalu,TUV,EAP,Female,2,0.302,0.343,0.339,0.218,0.177,0.254,0.173,0.278,0.089,0.375,MICS,2019
Tuvalu,TUV,EAP,Female,3,0.418,0.418,0.277,0.238,0.26,0.322,0.277,0.339,0.136,0.476,MICS,2019
Tuvalu,TUV,EAP,Female,4,0.556,0.536,0.455,0.303,0.258,0.334,0.258,0.355,0.121,0.597,MICS,2019
Tuvalu,TUV,EAP,Female,5,0.584,0.651,0.584,0.332,0.403,0.55,0.487,0.584,0.164,0.769,MICS,2019
Tuvalu,TUV,EAP,Male,1,0.208,0.124,0.146,0,0.084,0.084,0,0.333,0,0.416,MICS,2019
Tuvalu,TUV,EAP,Male,2,0.307,0.399,0.17,0.062,0.062,0.092,0.062,0.307,0.062,0.399,MICS,2019
Tuvalu,TUV,EAP,Male,3,0.19,0.19,0,0.036,0,0.036,0.036,0.225,0,0.225,MICS,2019
Tuvalu,TUV,EAP,Male,4,0.418,0.388,0.194,0.041,0.041,0.164,0.041,0.388,0.041,0.459,MICS,2019
Tuvalu,TUV,EAP,Male,5,0.701,0.582,0.522,0.283,0.299,0.283,0.164,0.582,0.224,0.761,MICS,2019
Viet Nam,VNM,EAP,Female,1,0.093,0.092,0.053,0.07,0.034,0.031,0.038,0.023,0.01,0.115,MICS,2017-18
Viet Nam,VNM,EAP,Female,2,0.17,0.166,0.171,0.171,0.094,0.123,0.083,0.086,0.024,0.269,MICS,2017-18
Viet Nam,VNM,EAP,Female,3,0.315,0.282,0.321,0.249,0.147,0.202,0.147,0.158,0.035,0.408,MICS,2017-18
Viet Nam,VNM,EAP,Female,4,0.337,0.334,0.331,0.321,0.143,0.298,0.195,0.211,0.043,0.431,MICS,2017-18
Viet Nam,VNM,EAP,Female,5,0.625,0.608,0.613,0.524,0.321,0.485,0.37,0.302,0.061,0.738,MICS,2017-18
Viet Nam,VNM,EAP,Male,1,0.074,0.067,0.05,0.066,0.023,0.074,0.026,0.048,0.014,0.104,MICS,2017-18
Viet Nam,VNM,EAP,Male,2,0.201,0.167,0.17,0.176,0.083,0.194,0.033,0.148,0.031,0.279,MICS,2017-18
Viet Nam,VNM,EAP,Male,3,0.343,0.306,0.262,0.196,0.123,0.328,0.107,0.193,0.034,0.399,MICS,2017-18
Viet Nam,VNM,EAP,Male,4,0.415,0.385,0.372,0.329,0.279,0.419,0.164,0.336,0.085,0.539,MICS,2017-18
Viet Nam,VNM,EAP,Male,5,0.571,0.506,0.57,0.414,0.314,0.553,0.24,0.405,0.133,0.699,MICS,2017-18
Zimbabwe,ZWE,ESA,Female,1,0.017,0.016,0.007,0.001,0.009,0.007,0.006,0.014,0.004,0.031,MICS,2018-19
Zimbabwe,ZWE,ESA,Female,2,0.008,0.004,0.006,0.004,0.002,0.007,0.005,0.005,0.003,0.014,MICS,2018-19
Zimbabwe,ZWE,ESA,Female,3,0.01,0.022,0.013,0.009,0.01,0.013,0.007,0.026,0,0.046,MICS,2018-19
Zimbabwe,ZWE,ESA,Female,4,0.07,0.071,0.04,0.029,0.046,0.05,0.03,0.083,0.011,0.136,MICS,2018-19
Zimbabwe,ZWE,ESA,Female,5,0.298,0.284,0.143,0.097,0.139,0.194,0.112,0.298,0.032,0.4,MICS,2018-19
Zimbabwe,ZWE,ESA,Male,1,0.013,0.014,0.005,0.005,0.006,0.003,0.009,0.012,0.003,0.023,MICS,2018-19
Zimbabwe,ZWE,ESA,Male,2,0.027,0.025,0.013,0.006,0.025,0.022,0.01,0.025,0.007,0.044,MICS,2018-19
Zimbabwe,ZWE,ESA,Male,3,0.065,0.045,0.019,0.02,0.031,0.029,0.007,0.06,0.009,0.086,MICS,2018-19
Zimbabwe,ZWE,ESA,Male,4,0.223,0.195,0.118,0.088,0.122,0.173,0.072,0.262,0.018,0.311,MICS,2018-19
Zimbabwe,ZWE,ESA,Male,5,0.565,0.531,0.226,0.241,0.33,0.404,0.218,0.579,0.073,0.641,MICS,2018-19
